﻿# Buff scan diff
# Old: Spooky @ 2026-05-20T07:20:17.9232119Z
# New: CalamityMod @ 2026-05-20T07:42:31.0337844Z
Change	StableKey	OldPhase	NewPhase	OldFile	NewFile	Note
Added	CalamityMod/DaffodilHandBuff		Unknown		Buffs/Minion/DaffodilHandBuff.cs	
Added	CalamityMod/DevilToothDebuff		CombatVisual		Buffs/Debuff/DevilToothDebuff.cs	
Added	CalamityMod/DutchmanPipeDebuff		Unknown		Buffs/Debuff/DutchmanPipeDebuff.cs	
Added	CalamityMod/EelTagDebuff		Unknown		Buffs/WhipDebuff/EelTagDebuff.cs	
Added	CalamityMod/EggplantWhipDebuff		Unknown		Buffs/WhipDebuff/EggplantWhipDebuff.cs	
Added	CalamityMod/EmbryoCooldown		Unknown		Buffs/Debuff/EmbryoCooldown.cs	
Added	CalamityMod/EmbryoRevival		Stat		Buffs/EmbryoRevival.cs	
Added	CalamityMod/EnsnaredCooldown		Unknown		Buffs/Debuff/EnsnaredCooldown.cs	
Added	CalamityMod/EnsnaredDebuff		CombatVisual		Buffs/Debuff/EnsnaredDebuff.cs	
Added	CalamityMod/EntityMinionBuff		Unknown		Buffs/Minion/EntityMinionBuff.cs	
Added	CalamityMod/FleshWhipCooldown		Unknown		Buffs/WhipDebuff/FleshWhipCooldown.cs	
Added	CalamityMod/FleshWhipDefense		Unknown		Buffs/WhipDebuff/FleshWhipDefense.cs	
Added	CalamityMod/FleshWhipDefense2		Unknown		Buffs/WhipDebuff/FleshWhipDefense2.cs	
Added	CalamityMod/FlowerArmorCooldown		Unknown		Buffs/Debuff/FlowerArmorCooldown.cs	
Added	CalamityMod/FlyBuff		Unknown		Buffs/FlyBuff.cs	
Added	CalamityMod/FlyCooldown		Unknown		Buffs/Debuff/FlyCooldown.cs	
Added	CalamityMod/FlyPetBuff		CombatVisual		Buffs/Pets/FlyPetBuff.cs	
Added	CalamityMod/FuzzBatPetBuff		CombatVisual		Buffs/Pets/FuzzBatPetBuff.cs	
Added	CalamityMod/GhostBanditDefense		Stat		Buffs/GhostBanditDefense.cs	
Added	CalamityMod/GhostPepperMinionBuff		Unknown		Buffs/Minion/GhostPepperMinionBuff.cs	
Added	CalamityMod/GhostPetBuff		CombatVisual		Buffs/Pets/GhostPetBuff.cs	
Added	CalamityMod/GlassEyeDebuff		Unknown		Buffs/Debuff/GlassEyeDebuff.cs	
Added	CalamityMod/GooseberryBoostBuff		Stat		Buffs/GooseberryBoostBuff.cs	
Added	CalamityMod/GourdDecay		CombatVisual		Buffs/Debuff/GourdDecay.cs	
Added	CalamityMod/GrugBuff		Unknown		Buffs/Minion/GrugBuff.cs	
Added	CalamityMod/HallucinationDebuff1		Unknown		Buffs/Debuff/HallucinationDebuff.cs	
Added	CalamityMod/HazmatMinionToxic		CombatVisual		Buffs/Debuff/HazmatMinionToxic.cs	
