﻿RegisteredTypeName	ReferenceCount	SampleFiles
RushJobBuff	2	FargowiltasSouls/FargowiltasSouls.cs|FargowiltasSouls.Core.ModPlayers/EModePlayer.cs
SadismBuff	5	FargowiltasSouls.Content.Bosses.MutantBoss/MutantBoss.cs|FargowiltasSouls.Content.Bosses.MutantBoss/MutantIllusion.cs|FargowiltasSouls.Content.Bosses.VanillaEternity/DukeFishron.cs|FargowiltasSouls.Content.Items.Materials/EternalEnergy.cs|FargowiltasSouls.Core.ModPlayers/FargoSoulsPlayer.cs
SaucerMinionBuff	1	FargowiltasSouls.Content.Items.Accessories.Masomode/UfoMinionEffect.cs
SeekerOfTreasuresBuff	1	FargowiltasSouls.Content.Items.Pets/MostlyOrdinaryRock.cs
ShadowflameBuff	24	FargowiltasSouls/FargowiltasSouls.cs|FargowiltasSouls.Content.Bosses.Champions.Life/LifeFireball.cs|FargowiltasSouls.Content.Bosses.Champions.Shadow/ShadowChampion.cs|FargowiltasSouls.Content.Bosses.Champions.Shadow/ShadowClone.cs|FargowiltasSouls.Content.Bosses.Champions.Shadow/ShadowFlameburst.cs
ShellHideBuff	1	FargowiltasSouls.Content.Items.Accessories.Enchantments/TurtleEnchant.cs
SkeletronArmsBuff	1	FargowiltasSouls.Content.Items.Accessories.Masomode/SkeleMinionEffect.cs
SmiteBuff	31	FargowiltasSouls/FargowiltasSouls.cs|FargowiltasSouls.Content.Bosses.Lifelight/JevilScar.cs|FargowiltasSouls.Content.Bosses.Lifelight/LifeBlaster.cs|FargowiltasSouls.Content.Bosses.Lifelight/LifeBomb.cs|FargowiltasSouls.Content.Bosses.Lifelight/LifeBombExplosion.cs
SolarBuff	1	FargowiltasSouls.Content.Items.Misc/SolarBooster.cs
SolarFlareBuff	1	FargowiltasSouls.Content.Projectiles.Souls/SolarEnchFlare.cs
SouloftheMasochistBuff	1	FargowiltasSouls.Content.Items.Accessories.Souls/MasochistSoul.cs
SqueakyToyBuff	15	FargowiltasSouls/FargowiltasSouls.cs|FargowiltasSouls.Content.Buffs.Masomode/MutantNibbleBuff.cs|FargowiltasSouls.Content.Buffs.Masomode/SadismBuff.cs|FargowiltasSouls.Content.Items.Accessories.Masomode/BionomicCluster.cs|FargowiltasSouls.Content.Items.Accessories.Masomode/BionomicClusterInactive.cs
StardustBuff	1	FargowiltasSouls.Content.Items.Misc/StardustBooster.cs
StunnedBuff	20	FargowiltasSouls/FargowiltasSouls.cs|FargowiltasSouls.Content.Bosses.CursedCoffin/CoffinHand.cs|FargowiltasSouls.Content.Bosses.DeviBoss/DeviHammer.cs|FargowiltasSouls.Content.Bosses.DeviBoss/DeviHammerHeld.cs|FargowiltasSouls.Content.Bosses.MutantBoss/MutantPillar.cs
SublimationBuff	2	FargowiltasSouls.Content.Items.Accessories.Masomode/TinyEaterGlobalProjectile.cs|FargowiltasSouls.Content.Projectiles/CreeperHitbox.cs
SuperBleedBuff	1	FargowiltasSouls.Content.Items.Accessories.Enchantments/ShadewoodEffect.cs
SuperchargedBuff	1	FargowiltasSouls.Content.Items.Accessories.Masomode/GroundStickDR.cs
SwarmingBuff	13	FargowiltasSouls/FargowiltasSouls.cs|FargowiltasSouls.Content.Bosses.Champions.Life/ChampionBee.cs|FargowiltasSouls.Content.Bosses.VanillaEternity/QueenBee.cs|FargowiltasSouls.Content.Buffs.Masomode/SadismBuff.cs|FargowiltasSouls.Content.Items.Accessories.Masomode/MagicalBulb.cs
